group,2.0 or below,2.2,3.2,3.4,3.8,4.0,4.2,4.4,4.6,4.8,5.0,5.2,5.4,5.6,5.8,6.0
No,2,0,1,2,3,3,2,4,12,29,40,46,62,58,74,37
Yes,3,1,0,0,1,4,5,4,12,26,34,38,49,63,54,33
