label,value
"Art",89
"Computer Science",51
"English",545
"History and Social Science",482
"Mathematics",214
"Music",52
"Biology",179
"Chemistry",77
"Physics", 74
"Philosophy and Religious Studies",217
"Physical Education",12
"Statistics",26
"Theatre and Dance",36
"World Languages",202
"Not applicable (Does not exist)",40
