group,No,Yes
"$1,000,000 or more",63,66
"$500,000 to $999,999",46,47
"$250,000 to $499,999",66,64
"$150,000 to $249,999",40,37
"$100,000 to $149,999",23,14
"$60,000 to $99,999",23,16
"$35,000 to $59,999",6,7
"$34,999 or less",11,6
Unsure,108,80
