label,value
"$1,000,000 or more",149
"$500,000 to $999,999",111
"$250,000 to $499,999",150
"$150,000 to $249,999",94
"$100,000 to $149,999",45
"$60,000 to $99,999",49
"$35,000 to $59,999",17
"$34,999 or less",25
Unsure,229
