label,value
African American,65
Asian American,234
Broadly European,145
East Asian,179
East European,81
Ethnically Jewish,59
Hispanic,80
Latine,77
Mediterranean,24
Middle Eastern,33
Native American,15
North African,7
Pacific Islander,11
Scandinavian,20
South Asian,68
Southeast Asian,38
Sub-Saharan African,31
West Indian/Caribbean,40
West European,164
Other,18
