group,Communist,Conservative,Independent,Liberal,Libertarian,Socialist,Unsure
"Yes, censored",73.9,84.9,62.4,33.9,66.7,57.1,37.6
"No, not censored",26.1,15.1,37.6,66.1,33.3,42.9,62.4
